고유번호,구분코드,구분명,측정일자,측정수위,통신상태,위치정보
06-0003,6,동대문,2022-11-07 09:23:00.0,0.08,통신양호,서울특별시 동대문구 전농로3가길 1 샘샘근린공원 앞 도로변
06-0004,6,동대문,2022-11-07 09:23:00.0,0.27,통신양호,서울특별시 동대문구 전농로 23 천주교 답십리 성당 정문 앞 도로
06-0005,6,동대문,2022-11-07 09:23:00.0,0.22,통신양호,서울특별시 동대문구 황물로 41-1 신한은행 신답지점 정문 앞 도로
06-0006,6,동대문,2022-11-07 09:23:00.0,0.33,통신양호,서울특별시 동대문구 황물로 15 청량리교회 앞 도로변
06-0007,6,동대문,2022-11-07 09:23:00.0,0.12,통신양호,서울특별시 동대문구 답십리로14길 2 공영주차장 남측 다사랑미용실 앞
06-0008,6,동대문,2022-11-07 09:23:00.0,0.07,통신양호,서울특별시 동대문구 경동시장로 82 홍파초 병설유치원 건물 좌측 도로
06-0009,6,동대문,2022-11-07 09:23:00.0,0.08,통신양호,서울특별시 동대문구 고산자로 550 효성 차유리썬팅 건물 우측 횡단보도
06-0010,6,동대문,2022-11-07 09:23:00.0,0.07,통신양호,서울특별시 동대문구 고산자로 552-6 모토셰이프 동대문점 우측 골목
06-0011,6,동대문,2022-11-07 09:23:00.0,0.22,통신양호,서울특별시 동대문구 제기로7길 21 제기동 빗물저류조 우측 거주자주차장
06-0012,6,동대문,2022-11-07 09:23:00.0,0.41,통신양호,서울특별시 동대문구 고산자로 552-8 제기동 방범대 초소 입구 앞
06-0013,6,동대문,2022-11-07 09:23:00.0,0.22,통신양호,서울특별시 동대문구 제기로2길 51 효성트럼프 좌측 방아다리교 진입로 앞
06-0014,6,동대문,2022-11-07 09:23:00.0,0.16,통신양호,서울특별시 동대문구 왕산로 35 한국항공직업전문학교 우측 도로
07-0001,7,중랑,2022-11-07 09:23:00.0,0.05,통신양호,중랑구 사가정로 397앞 맨홀<코끼리약국 건물(인치과앞) 사가정역 주변>
07-0002,7,중랑,2022-11-07 09:23:00.0,0.04,통신양호,서울특별시 중랑구 중랑역로 207 한마음 한의원 북측 횡단보도
07-0003,7,중랑,2022-11-07 09:23:00.0,0.03,통신양호,서울특별시 중랑구 중랑역로 201 황선빌딩 입구 앞 도로 중앙
07-0004,7,중랑,2022-11-07 09:23:00.0,0.17,통신양호,서울특별시 중랑구 동일로163길 16 먹골역 교차로 좌측 할매김밥 앞
07-0005,7,중랑,2022-11-07 09:23:00.0,0.2,통신양호,서울특별시 중랑구 중랑역로 158 오성카클리닉 앞 도로 중앙
07-0006,7,중랑,2022-11-07 09:23:00.0,0.07,통신양호,서울특별시 중랑구 동일로149길 15 성아파트 좌측 도로 중앙
07-0007,7,중랑,2022-11-07 09:23:00.0,0.2,통신양호,서울특별시 중랑구 답십리로75길 22 면목늘푸른 동아아파트103동앞도로변
07-0008,7,중랑,2022-11-07 09:23:00.0,0.17,통신양호,서울특별시 광진구 동일로 462 KT&G 성동지점  앞 (중량구 경계 인접부분)
08-0001,8,성북,2022-11-07 09:24:00.0,0.0,통신양호,성북구 한천로78길 33앞 맨홀(정한빌딩~한천로78길36간 앞)
08-0002,8,성북,2022-11-07 09:24:00.0,0.05,통신양호,서울특별시 성북구 정릉동 167-4 한울어린이 공원 앞 도로에 위치
08-0003,8,성북,2022-11-07 09:24:00.0,0.04,통신양호,서울특별시 성북구 정릉동 168-23 정릉태영.동아아파트 버스정류장 앞 도로에 위치
08-0004,8,성북,2022-11-07 09:24:00.0,0.09,통신양호,서울특별시 성북구 정릉동 162-46 서울 숭덕초등학교 서쪽 숭덕분식 앞 도로에 위치
08-0005,8,성북,2022-11-07 09:24:00.0,0.22,통신양호,서울특별시 성북구 정릉동 170-123 서울 숭덕초등학교 동쪽 솔숲어린이 공원 앞 도로에 위치
09-0001,9,강북,2022-11-07 09:24:00.0,0.1,통신양호,강북구 도봉로13길 5앞 맨홀(하나은행미아지점앞~하나안경콘택트 도봉로61옆)
09-0002,9,강북,2022-11-07 09:24:00.0,0.06,통신양호,서울특별시 강북구 도봉로 87길 23앞(수유역 주변 하수암거 내)
10-0001,10,도봉,2022-11-07 09:24:00.0,0.03,통신양호,도봉구 노해로264옆 맨홀(영은교회옆~창동고옆)
10-0002,10,도봉,2022-11-07 09:24:00.0,0.43,통신양호,서울특별시 도봉구 노해로63길 67 창동역 공영주차장 북측 도로
10-0003,10,도봉,2022-11-07 09:24:00.0,0.06,통신양호,서울특별시 도봉구 노해로66길 59 창일 중학교 정문 앞 횡당보도
10-0004,10,도봉,2022-11-07 09:24:00.0,0.19,통신양호,서울특별시 도봉구 덕릉로 371 창동대우아파트 주민운동시설 북측
10-0005,10,도봉,2022-11-07 09:24:00.0,0.02,통신양호,서울특별시 도봉구 노해로66길 21 창동 삼성래미안 101동 좌측 도로
10-0006,10,도봉,2022-11-07 09:24:00.0,0.13,통신양호,서울특별시 도봉구 도당로29길 6 진일빌딩 좌측 도로 중앙
10-0007,10,도봉,2022-11-07 09:24:00.0,0.05,통신양호,서울특별시 도봉구 도당로29길 80 삼원 빌라 가동 우측 도로
10-0008,10,도봉,2022-11-07 09:24:00.0,0.25,통신양호,서울특별시 도봉구 도봉로150길 9 녹산교회 정문 앞
