고유번호,구분코드,구분명,측정일자,측정수위,통신상태,위치정보
20-0009,20,동작,2022-11-07 09:23:00.0,0.0,통신양호,서울특별시 동작구 서달로 159 앞 보도 맨홀(아리따움 앞)
20-0010,20,동작,2022-11-07 09:23:00.0,0.07,통신양호,서울특별시 동작구 서달로 158 앞 보도 맨홀(명수대아파트 건물 열쇠가게 앞 보도)
20-0012,20,동작,2022-11-07 09:23:00.0,0.81,통신양호,서울특별시 동작구 상도로 351 도로 앞
20-0013,20,동작,2022-11-07 09:23:00.0,0.03,통신양호,서울특별시 동작구 상도로 370 도로 앞
20-0016,20,동작,2022-11-07 09:23:00.0,0.23,통신양호,서울특별시 동작구 상도로 279 앞 도로 맨홀(상일빌딩 앞 차도)
20-0017,20,동작,2022-11-07 09:23:00.0,0.06,통신양호,서울특별시 동작구 양녕로 259 앞 도로 맨홀(상도역 3번출구 ~ 5번출구 방면 신호등 앞 차도)
20-0020,20,동작,2022-11-07 09:23:00.0,0.04,통신양호,서울특별시 동작구 노량진동 126-6 언더 2그램 앞 골목에 위치
20-0021,20,동작,2022-11-07 09:23:00.0,0.03,통신양호,서울특별시 동작구 상도로15길 74 앞 도로 맨홀(서울종합공사 앞 도로)
20-0022,20,동작,2022-11-07 09:23:00.0,0.34,통신양호,서울특별시 동작구 국사봉길 13 앞 도로 맨홀(바니헤어 앞 삼거리)
20-0023,20,동작,2022-11-07 09:23:00.0,0.19,통신양호,서울특별시 동작구 상도4동 188-77 앞 도로 맨홀(동광교회 ~ 동광어린이집 앞 골목)
20-0025,20,동작,2022-11-07 09:23:00.0,0.07,통신양호,서울특별시 동작구 여의대방로24길 113 앞 도로 빗물받이(구립은하어린이집 앞 차도 하수관로 상부)
20-0027,20,동작,2022-11-07 09:23:00.0,1.87,통신양호,서울특별시 동작구 여의대방로24가길 2 앞 도로 빗물받이(동작노인회관 앞 차도 하수관로 상부)
21-0001,21,관악,2022-11-07 09:23:00.0,0.32,통신양호,관악구 원신길 11옆 맨홀<동방빌딩 옆신림2가압장옆(신림로143) 신림3교남측>
21-0002,21,관악,2022-11-07 09:23:00.0,0.01,통신양호,관악구 조원로 66앞 작업구(조원문구앞 조원초등교 월편 사각철판)
21-0004,21,관악,2022-11-07 09:23:00.0,0.22,통신양호,관악구 봉천로 536-1앞 맨홀(피닉스빌딩앞 중앙차선내)
21-0005,21,관악,2022-11-07 09:23:00.0,0.31,통신양호,관악구 봉천로 293앞 하수박스 천장    (삼성시스템에어컨앞 자전거전용도로내)
21-0006,21,관악,2022-11-07 09:23:00.0,0.1,통신양호,관악구 봉천로 505옆 맨홀(원당초등 옆 봉천로1차로내측)
21-0007,21,관악,2022-11-07 09:23:00.0,0.11,통신양호,관악구 봉천로4길 9 옆 사거리 하수박스 천장    <대신할인마트 옆 신림119안전센터뒤(봉천로202) 사거리 사각철판>
22-0001,22,서초,2022-11-07 09:24:00.0,0.02,통신양호,서초구 방배천로 54앞 전용맨홀(방배경찰서앞~청도빌딩앞 보도내)
22-0002,22,서초,2022-11-07 09:24:00.0,0.34,통신양호,서초구 서운로164~서운로162사이 골목앞 전용맨홀(진흥아파트6~7동옆 중앙차선내)
22-0003,22,서초,2022-11-07 09:24:00.0,0.26,통신양호,서초구 서초대로23길 77앞 사거리내 맨홀<언제나처음처럼~방배시티아파트101동옆(서초대로23길74) 사거리>
22-0004,22,서초,2022-11-07 09:24:00.0,0.07,통신양호,서초구 방배천로 16옆 보도내 전용맨홀(호림수산옆 방배복개공영주차장 방배천로4길측 보도내)
22-0005,22,서초,2022-11-07 09:24:00.0,0.2,통신양호,서초구 방배로19길 14옆 전용사각맨홀(외환은행 방배동지점뒤)
22-0006,22,서초,2022-11-07 09:24:00.0,0.27,통신양호,서초구 주흥3길 20앞 맨홀(현대빌라앞~일호자동차공업사앞)
22-0007,22,서초,2022-11-07 09:24:00.0,0.05,통신양호,서초구 논현로31길 44앞 맨홀(혜인빌딩~세원빌딩간)
22-0008,22,서초,2022-11-07 09:24:00.0,0.44,통신양호,서초구 방배중앙로 121앞 (방배빗물펌프장유입박스 천장)
22-0009,22,서초,2022-11-07 09:24:00.0,0.05,통신양호,서초구 서초4동 1305-8 (동일빌딩 옆)
22-0010,22,서초,2022-11-07 09:24:00.0,0.59,통신양호,서초구 강남대로 399앞 맨홀(강남역#9출입구 뒤 보도내)
22-0011,22,서초,2022-11-07 09:24:00.0,0.22,통신양호,서초구 강남대로 375앞 맨홀(강남역#6번출입구옆 서초현대타워앞)
22-0012,22,서초,2022-11-07 09:24:00.0,0.42,통신양호,서초구 서운로21길 2앞 전용사각(서초빗물펌프장내 박스 서일중학교체육관 뒤)
22-0013,22,서초,2022-11-07 09:24:00.0,0.39,통신양호,서초구 고무래로 94월편 보도내 작업구 하수박스 천장  (현대4차아파트301동옆 월편 삼호가든아파트 다동옆)
22-0014,22,서초,2022-11-07 09:24:00.0,0.62,통신양호,서초구 서초대로78길38앞 (서초동1396) 삼성화재 맞은편 2018/07/06편집_장비제원업데이트요망
23-0001,23,강남,2022-11-07 09:22:00.0,0.29,통신양호,강남구 압구정로20길 6앞 맨홀<심덕빌딩(최용섭피부과)앞~백상빌딩간 횡단보도내>
23-0002,23,강남,2022-11-07 09:22:00.0,0.37,통신양호,강남구 압구정로128앞 맨홀(신사동주민센터앞 횡단보도내 현대고 서측정문앞)
23-0003,23,강남,2022-11-07 09:22:00.0,0.22,통신양호,강남구 남부순환로2947앞(대원빌딩앞 횡단보도내 대치역사거리)
23-0004,23,강남,2022-11-07 09:22:00.0,0.1,통신양호,강남구 삼성로212앞 맨홀(은마아파트1동~미도아파트208동간중안차로 안전지대내)
23-0005,23,강남,2022-11-07 09:24:00.0,0.17,통신양호,테헤란로435앞 맨홀(대종빌딩~삼영빌딩간 횡단보도앞 테헤란로측)
23-0006,23,강남,2022-11-07 09:22:00.0,0.25,통신양호,강남구 역삼로 124앞 맨홀(청보빌딩앞 정지선앞~역삼로123 인정빌딩월편)
23-0007,23,강남,2022-11-07 09:24:00.0,0.11,통신양호,서울특별시 강남구 성수대교남단 교차로 윤호병원 보도 앞
23-0008,23,강남,2022-11-07 09:24:00.0,0.67,통신양호,서울특별시 강남구 압구정로 46길 3 버거킹 도로 앞
23-0009,23,강남,2022-11-07 09:24:00.0,0.19,통신양호,서울특별시 강남구 도산대로49길 21 화랑빌딩 도로 앞
23-0010,23,강남,2022-11-07 09:24:00.0,0.18,통신양호,서울특별시 강남구 도산대로85길 현대한강빌라 도로 옆
23-0011,23,강남,2022-11-07 09:24:00.0,0.15,통신양호,서울특별시 강남구 삼성로 148길 기아오토큐 보도 앞
23-0012,23,강남,2022-11-07 09:24:00.0,0.04,통신양호,서울특별시 강남구 학돌로67길 14 정원빌딩 도로 앞
23-0013,23,강남,2022-11-07 09:24:00.0,0.05,통신양호,서울특별시 강남구 도산대로85길 현대한강 빌라 도로 옆
23-0014,23,강남,2022-11-07 09:24:00.0,0.05,통신양호,서울특별시 강남구 개포로 140길 현대블루핸즈 도로 앞
23-0015,23,강남,2022-11-07 09:24:00.0,0.15,통신양호,서울특별시 강남구 일원로5길 85 일반주택 도로 앞
23-0017,23,강남,2022-11-07 09:24:00.0,0.13,통신양호,서울특별시 강남구 광평로 20길 63 서울로봇고등학교 정문 앞
23-0018,23,강남,2022-11-07 09:24:00.0,0.03,통신양호,서울특별시 강남구 대왕중교 교차로 일원본동 주민센터 도로 앞
23-0019,23,강남,2022-11-07 09:24:00.0,0.13,통신양호,서울특별시 강남구 광평로 51길 8 로얄프라자 도로 앞
23-0021,23,강남,2022-11-07 09:24:00.0,0.26,통신양호,서울특별시 강남구 광평로 202 SK주유소 공원 도로 앞
24-0001,24,송파,2022-11-07 09:24:00.0,0.31,통신양호,송파구 풍성로26길47앞 맨홀(송파해모로아파트 주차장입구 월편)
24-0002,24,송파,2022-11-07 09:24:00.0,0.2,통신양호,송파구 올림픽로32길32옆 맨홀<유인빌딩~ 유성빌딩(올림픽로32길29) 옆>
25-0001,25,강동,2022-11-07 09:23:00.0,0.21,통신양호,강동구 천중로40길 45앞 사거리 맨홀(SM베스트빌A동옆 사거리)
25-0002,25,강동,2022-11-07 09:23:00.0,0.03,통신양호,강동구 올림픽로 800앞 맨홀(영금당서정민치과앞 횡단보도정지선앞)
25-0003,25,강동,2022-11-07 09:23:00.0,0.07,통신양호,강동구 풍성로233앞 맨홀(풍성로233앞~둔촌주공1단지 114동앞 중앙차선내)
25-0004,25,강동,2022-11-07 09:23:00.0,0.32,통신양호,양재대로 1299옆 중앙차선 부근 하부박스 천장     (수위계 : 둔춘주공2단지 207동옆~양재대로1299월편 중앙차선부근 하수박스 천장)  (출입맨홀 : 둔촌주공2단지 207동옆 4차로측)
